year,competition,location,event_label,boat_class,gender,distance_m,rank,athlete,country,time_raw,time_seconds,pct_gap_winner,pct_gap_K1H_ref
2023,WCh,"Duisburg, GER",C1 women 500 m,C1,F,500,5,BALLA Virag,HUN,02:09.522,129.522,6.563,34.552
2023,WCh,"Duisburg, GER",C1 women 500 m,C1,F,500,6,WAN Yin,CHN,02:09.712,129.712,6.719,34.749
2023,WCh,"Duisburg, GER",C1 women 500 m,C1,F,500,7,DELLA GIUSTINA Olympia,ITA,02:11.773,131.773,8.415,36.89
2023,WCh,"Duisburg, GER",C1 women 500 m,C1,F,500,8,STANNY Magda,POL,02:16.670,136.67,12.444,41.977
2023,WCh,"Duisburg, GER",C1 men 1.000 m,C1,H,1000,1,FUKSA Martin,CZE,03:45.124,225.124,0.0,8.383
2023,WCh,"Duisburg, GER",C1 men 1.000 m,C1,H,1000,2,CHIRILA Catalin,ROU,03:45.958,225.958,0.37,8.784
2023,WCh,"Duisburg, GER",C1 men 1.000 m,C1,H,1000,3,Brendel Sebastian,GER,03:46.581,226.581,0.647,9.084
2023,WCh,"Duisburg, GER",C1 men 1.000 m,C1,H,1000,4,GLAZUNOW WIKTOR,POL,03:46.605,226.605,0.658,9.096
2023,WCh,"Duisburg, GER",C1 men 1.000 m,C1,H,1000,5,Adolf Balazs,HUN,03:47.828,227.828,1.201,9.685
2023,WCh,"Duisburg, GER",C1 men 1.000 m,C1,H,1000,6,GUIMARAES QUEIROZ Isaquias,BRA,03:48.860,228.86,1.66,10.181
2023,WCh,"Duisburg, GER",C1 men 1.000 m,C1,H,1000,7,TARNOVSCHI Serghei,MDA,03:52.380,232.38,3.223,11.876
2023,WCh,"Duisburg, GER",C1 men 1.000 m,C1,H,1000,8,Altukhov Pavlo,UKR,03:53.060,233.06,3.525,12.203
2023,WCh,"Duisburg, GER",C1 men 1.000 m,C1,H,1000,9,Fitzpatrick Connor,CAN,03:53.334,233.334,3.647,12.335
2023,WCh,"Duisburg, GER",C1 women 1.000 m,C1,F,1000,1,MAILLIARD Maria,CHI,04:24.958,264.958,0.0,27.56
2023,WCh,"Duisburg, GER",C1 women 1.000 m,C1,F,1000,2,GRANT Jacy,CAN,04:26.955,266.955,0.754,28.522
2023,WCh,"Duisburg, GER",C1 women 1.000 m,C1,F,1000,3,LI Li,CHN,04:27.113,267.113,0.813,28.598
2023,WCh,"Duisburg, GER",C1 women 1.000 m,C1,F,1000,4,KISBAN Zsofia,HUN,04:27.208,267.208,0.849,28.644
2023,WCh,"Duisburg, GER",C1 women 1.000 m,C1,F,1000,5,PRELLER Ophelia,GER,04:30.441,270.441,2.069,30.2
2023,WCh,"Duisburg, GER",C1 women 1.000 m,C1,F,1000,6,BROVKOVA Mariya,KAZ,04:32.419,272.419,2.816,31.152
2023,WCh,"Duisburg, GER",C1 women 1.000 m,C1,F,1000,7,TSYHANKOVA Olena,UKR,04:38.671,278.671,5.176,34.162
2023,WCh,"Duisburg, GER",C1 women 1.000 m,C1,F,1000,8,SOUTELO Cristina,ESP,04:48.678,288.678,8.952,38.98
2023,WCh,"Duisburg, GER",C1 women 1.000 m,C1,F,1000,9,GLIZAN Elena,MDA,04:57.943,297.943,12.449,43.44
2023,WCh,"Duisburg, GER",C1 men 5.000 m,C1,H,5000,1,Adolf Balazs,HUN,22:12.975,1332.975,0.0,11.502
2023,WCh,"Duisburg, GER",C1 men 5.000 m,C1,H,5000,2,Brendel Sebastian,GER,22:18.883,1338.883,0.443,11.997
2023,WCh,"Duisburg, GER",C1 men 5.000 m,C1,H,5000,3,GLAZUNOW WIKTOR,POL,22:35.386,1355.386,1.681,13.377
2023,WCh,"Duisburg, GER",C1 men 5.000 m,C1,H,5000,4,TARNOVSCHI Serghei,MDA,22:55.215,1375.215,3.169,15.036
2023,WCh,"Duisburg, GER",C1 men 5.000 m,C1,H,5000,5,Pelier Cordova Jose Ramon,CUB,23:11.395,1391.395,4.383,16.389
2023,WCh,"Duisburg, GER",C1 men 5.000 m,C1,H,5000,6,TACCHINI Carlo,ITA,23:18.077,1398.077,4.884,16.948
2023,WCh,"Duisburg, GER",C1 men 5.000 m,C1,H,5000,7,Karlson Joosep,EST,23:23.356,1403.356,5.28,17.39
2023,WCh,"Duisburg, GER",C1 men 5.000 m,C1,H,5000,8,YANCHUK Dmytro,UKR,23:34.326,1414.326,6.103,18.307
2023,WCh,"Duisburg, GER",C1 men 5.000 m,C1,H,5000,9,DOMÃNGUEZ Noel,ESP,23:36.008,1416.008,6.229,18.448
2023,WCh,"Duisburg, GER",C1 women 5.000 m,C1,F,5000,1,VINCENT Katie,CAN,25:57.255,1557.255,0.0,30.263
2023,WCh,"Duisburg, GER",C1 women 5.000 m,C1,F,5000,2,KISBAN Zsofia,HUN,26:04.048,1564.048,0.436,30.832
2023,WCh,"Duisburg, GER",C1 women 5.000 m,C1,F,5000,3,LI Li,CHN,26:51.612,1611.612,3.491,34.81
2023,WCh,"Duisburg, GER",C1 women 5.000 m,C1,F,5000,4,LOSKE Annika,GER,27:05.653,1625.653,4.392,35.985
2023,WCh,"Duisburg, GER",C1 women 5.000 m,C1,F,5000,5,MALÃKOVÃ Martina,CZE,27:08.536,1628.536,4.577,36.226
2023,WCh,"Duisburg, GER",C1 women 5.000 m,C1,F,5000,6,DORANGE EugÃ©nie,FRA,27:15.839,1635.839,5.046,36.837
2023,WCh,"Duisburg, GER",C1 women 5.000 m,C1,F,5000,7,GLIZAN Elena,MDA,27:57.944,1677.944,7.75,40.359
2023,WCh,"Duisburg, GER",C1 women 5.000 m,C1,F,5000,8,BRAUN Amelia,POL,28:42.386,1722.386,10.604,44.076
2023,WCh,"Duisburg, GER",C1 women 5.000 m,C1,F,5000,9,BABAK Liudmyla,UKR,28:46.264,1726.264,10.853,44.401
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,1,SHUAI Changwen,CHN,00:42.516,42.516,0.0,20.637
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,1,Lin Wenjun,CHN,00:42.516,42.516,0.0,20.637
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,2,JACOME AntÃ­a,ESP,00:42.760,42.76,0.574,21.329
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,2,CORBERA Maria,ESP,00:42.760,42.76,0.574,21.329
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,3,JAHN Lisa,GER,00:43.623,43.623,2.604,23.778
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,3,KLIEMKE Hedi,GER,00:43.623,43.623,2.604,23.778
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,4,COCIU Daniela,MDA,00:43.953,43.953,3.38,24.714
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,4,OLARASU Maria,MDA,00:43.953,43.953,3.38,24.714
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,5,BRAUN Amelia,POL,00:44.562,44.562,4.812,26.442
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,5,STANNY Magda,POL,00:44.562,44.562,4.812,26.442
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,6,HORANYI Dora,HUN,00:44.761,44.761,5.28,27.007
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,6,Takacs Kincso,HUN,00:44.761,44.761,5.28,27.007
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,7,GRANT Jacy,CAN,00:45.188,45.188,6.285,28.218
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,7,LILLEY OSENDE Julia,CAN,00:45.188,45.188,6.285,28.218
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,8,Fayzieva Gulbakhor,UZB,00:45.293,45.293,6.532,28.516
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,8,Zokirova Nilufar,UZB,00:45.293,45.293,6.532,28.516
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,9,MURPHY Azusa,USA,00:45.491,45.491,6.997,29.078
2023,WCh,"Duisburg, GER",C2 women 200 m,C2,F,200,9,GHIZILA Andreea,USA,00:45.491,45.491,6.997,29.078
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,1,KRETSCHMER Peter,GER,01:36.972,96.972,0.0,0.738
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,1,Hecker Tim,GER,01:36.972,96.972,0.0,0.738
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,2,Liu Hao,CHN,01:38.126,98.126,1.19,1.936
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,2,JI Bowen,CHN,01:38.126,98.126,1.19,1.936
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,3,GARCIA Cayetano,ESP,01:38.571,98.571,1.649,2.399
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,3,MARTINEZ Pablo,ESP,01:38.571,98.571,1.649,2.399
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,4,LEONARD Loic,FRA,01:38.585,98.585,1.663,2.413
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,4,BART Adrien,FRA,01:38.585,98.585,1.663,2.413
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,5,KORISÃNSZKY DÃ¡vid,HUN,01:38.770,98.77,1.854,2.605
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,5,FEKETE Adam,HUN,01:38.770,98.77,1.854,2.605
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,6,SPRINCEAN Ilie,ROU,01:38.781,98.781,1.865,2.617
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,6,NUTA Oleg,ROU,01:38.781,98.781,1.865,2.617
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,7,CASADEI Gabriele,ITA,01:38.923,98.923,2.012,2.764
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,7,TACCHINI Carlo,ITA,01:38.923,98.923,2.012,2.764
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,8,Fuksa Petr,CZE,01:39.471,99.471,2.577,3.334
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,8,FUKSA Martin,CZE,01:39.471,99.471,2.577,3.334
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,9,Kitewski Aleksander,POL,01:39.683,99.683,2.796,3.554
2023,WCh,"Duisburg, GER",C2 men 500 m,C2,H,500,9,ZEZULA Norman,POL,01:39.683,99.683,2.796,3.554
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,1,Fitzpatrick Connor,CAN,01:45.771,105.771,0.0,9.878
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,1,VINCENT Katie,CAN,01:45.771,105.771,0.0,9.878
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,2,GLAZUNOW WIKTOR,POL,01:46.219,106.219,0.424,10.344
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,2,SZCZERBINSKA Sylwia,POL,01:46.219,106.219,0.424,10.344
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,3,DELLA GIUSTINA Olympia,ITA,01:47.663,107.663,1.789,11.844
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,3,SANTINI Daniele,ITA,01:47.663,107.663,1.789,11.844
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,4,Takacs Kincso,HUN,01:47.829,107.829,1.946,12.016
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,4,Hajdu Jonatan,HUN,01:47.829,107.829,1.946,12.016
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,5,Brendel Sebastian,GER,01:48.014,108.014,2.121,12.208
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,5,KOCH Sophie,GER,01:48.014,108.014,2.121,12.208
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,6,KUZYK Taras,UKR,01:49.731,109.731,3.744,13.992
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,6,PUTNINA Yuliana,UKR,01:49.731,109.731,3.744,13.992
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,7,RODRIGUEZ RAMIREZ Alejandro,COL,01:50.026,110.026,4.023,14.298
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,7,Gomez Sanchez Manuela,COL,01:50.026,110.026,4.023,14.298
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,8,MOJALLALIMOGHADAM Adel,IRI,01:50.231,110.231,4.217,14.511
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,8,AFZALI Hiva,IRI,01:50.231,110.231,4.217,14.511
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,9,YU Yuebin,CHN,01:58.075,118.075,11.633,22.66
2023,WCh,"Duisburg, GER",C2 mix 500 m,C2,MIX,500,9,WAN Yin,CHN,01:58.075,118.075,11.633,22.66
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,1,XU Shixiao,CHN,01:52.775,112.775,0.0,17.154
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,1,Sun Mengya,CHN,01:52.775,112.775,0.0,17.154
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,2,JACOME AntÃ­a,ESP,01:52.916,112.916,0.125,17.301
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,2,CORBERA Maria,ESP,01:52.916,112.916,0.125,17.301
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,3,MACKENZIE Sloan,CAN,01:52.956,112.956,0.16,17.342
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,3,VINCENT Katie,CAN,01:52.956,112.956,0.16,17.342
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,4,JAHN Lisa,GER,01:55.543,115.543,2.454,20.03
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,4,KLIEMKE Hedi,GER,01:55.543,115.543,2.454,20.03
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,5,BRAGATO Giada,HUN,01:55.976,115.976,2.838,20.48
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,5,NAGY Bianka,HUN,01:55.976,115.976,2.838,20.48
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,6,CIRILO DUBOYS Yarisleidis,CUB,01:56.185,116.185,3.024,20.697
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,6,LOPEZ LAMADRID Yinnoly Francheska,CUB,01:56.185,116.185,3.024,20.697
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,7,COCIU Daniela,MDA,01:56.895,116.895,3.653,21.434
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,7,OLARASU Maria,MDA,01:56.895,116.895,3.653,21.434
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,8,LUZAN Liudmyla,UKR,01:56.987,116.987,3.735,21.53
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,8,TERETA Valeriia,UKR,01:56.987,116.987,3.735,21.53
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,9,SZCZERBINSKA Sylwia,POL,01:57.920,117.92,4.562,22.499
2023,WCh,"Duisburg, GER",C2 women 500 m,C2,F,500,9,SZPERKIEWICZ Katarzyna,POL,01:57.920,117.92,4.562,22.499
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,1,CRACIUN NICOLAE,ITA,03:34.565,214.565,0.0,3.299
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,1,SANTINI Daniele,ITA,03:34.565,214.565,0.0,3.299
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,2,ADAM Moritz,GER,03:35.296,215.296,0.341,3.651
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,2,PICKERT Nico,GER,03:35.296,215.296,0.341,3.651
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,3,SPRINCEAN Ilie,ROU,03:36.490,216.49,0.897,4.226
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,3,NUTA Oleg,ROU,03:36.490,216.49,0.897,4.226
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,4,CRESPO Pablo,ESP,03:36.530,216.53,0.916,4.245
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,4,JACOME COUTO Martin,ESP,03:36.530,216.53,0.916,4.245
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,5,KOLLAR Kristof,HUN,03:36.932,216.932,1.103,4.439
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,5,FEJES Daniel,HUN,03:36.932,216.932,1.103,4.439
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,6,YU Yuebin,CHN,03:37.935,217.935,1.571,4.922
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,6,YU Chenwei,CHN,03:37.935,217.935,1.571,4.922
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,7,SIERADZAN Kacper Damian,POL,03:42.615,222.615,3.752,7.175
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,7,KLOS Adrian,POL,03:42.615,222.615,3.752,7.175
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,8,CHETVERTAK Artem,UKR,03:48.993,228.993,6.724,10.245
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,8,BORSUK Pavlo,UKR,03:48.993,228.993,6.724,10.245
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,9,SINGH Arjun,IND,03:49.524,229.524,6.972,10.501
2023,WCh,"Duisburg, GER",C2 men 1.000 m,C2,H,1000,9,SALAM Sunil Singh,IND,03:49.524,229.524,6.972,10.501
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,1,MORENO Joan Antoni,ESP,01:30.808,90.808,0.0,-5.666
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,1,GRAÃA Pablo,ESP,01:30.808,90.808,0.0,-5.666
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,1,FONTAN Manuel,ESP,01:30.808,90.808,0.0,-5.666
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,1,SIEIRO AdriÃ¡n,ESP,01:30.808,90.808,0.0,-5.666
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,2,Kitewski Aleksander,POL,01:32.373,92.373,1.723,-4.04
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,2,BARNIAK Tomasz,POL,01:32.373,92.373,1.723,-4.04
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,2,GLAZUNOW WIKTOR,POL,01:32.373,92.373,1.723,-4.04
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,2,ZEZULA Norman,POL,01:32.373,92.373,1.723,-4.04
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,3,Verheles Vitaliy,UKR,01:32.725,92.725,2.111,-3.674
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,3,Rybachok Andrii,UKR,01:32.725,92.725,2.111,-3.674
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,3,YANCHUK Dmytro,UKR,01:32.725,92.725,2.111,-3.674
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,3,Mishchuk Taras,UKR,01:32.725,92.725,2.111,-3.674
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,4,KOCZKAS David,HUN,01:33.250,93.25,2.689,-3.129
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,4,SLIHOCZKI Adam,HUN,01:33.250,93.25,2.689,-3.129
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,4,Hajdu Jonatan,HUN,01:33.250,93.25,2.689,-3.129
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,4,HODOVAN David,HUN,01:33.250,93.25,2.689,-3.129
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,5,STEPANOV Viktor,KAZ,01:34.235,94.235,3.774,-2.106
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,5,KHAIDAROV Timur,KAZ,01:34.235,94.235,3.774,-2.106
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,5,Yemelyanov Sergey,KAZ,01:34.235,94.235,3.774,-2.106
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,5,Yemelyanov Timofey,KAZ,01:34.235,94.235,3.774,-2.106
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,6,ADAM Moritz,GER,01:36.050,96.05,5.773,-0.22
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,6,PICKERT Nico,GER,01:36.050,96.05,5.773,-0.22
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,6,SCHEIBNER Conrad,GER,01:36.050,96.05,5.773,-0.22
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,6,Mueller Michael,GER,01:36.050,96.05,5.773,-0.22
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,7,VIRABYAN Ara,ARM,01:44.269,104.269,14.824,8.318
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,7,DAVTYAN Vahe,ARM,01:44.269,104.269,14.824,8.318
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,7,PILOSYAN Gevorg,ARM,01:44.269,104.269,14.824,8.318
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,7,MARGARYAN Norik,ARM,01:44.269,104.269,14.824,8.318
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,8,SINGH Arjun,IND,01:44.842,104.842,15.455,8.913
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,8,VERMA Niraj,IND,01:44.842,104.842,15.455,8.913
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,8,NINGTHOUJAM Ribason Singh,IND,01:44.842,104.842,15.455,8.913
2023,WCh,"Duisburg, GER",C4 men 500 m,C4,H,500,8,PHILEM Gyaneshwor Singh,IND,01:44.842,104.842,15.455,8.913
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,1,SHUAI Changwen,CHN,01:47.186,107.186,0.0,11.348
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,1,Lin Wenjun,CHN,01:47.186,107.186,0.0,11.348
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,1,LI Li,CHN,01:47.186,107.186,0.0,11.348
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,1,WAN Yin,CHN,01:47.186,107.186,0.0,11.348
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,2,JAHN Lisa,GER,01:47.780,107.78,0.554,11.965
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,2,KLIEMKE Hedi,GER,01:47.780,107.78,0.554,11.965
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,2,LOSKE Annika,GER,01:47.780,107.78,0.554,11.965
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,2,PRELLER Ophelia,GER,01:47.780,107.78,0.554,11.965
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,3,JENSEN Sophia,CAN,01:48.143,108.143,0.893,12.342
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,3,MACKENZIE Sloan,CAN,01:48.143,108.143,0.893,12.342
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,3,GRANT Jacy,CAN,01:48.143,108.143,0.893,12.342
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,3,LILLEY OSENDE Julia,CAN,01:48.143,108.143,0.893,12.342
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,4,BRAGATO Giada,HUN,01:48.761,108.761,1.469,12.984
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,4,CSORBA Zsofia Katalin,HUN,01:48.761,108.761,1.469,12.984
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,4,OPAVSZKY Reka,HUN,01:48.761,108.761,1.469,12.984
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,4,NAGY Bianka,HUN,01:48.761,108.761,1.469,12.984
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,5,MORENO Maria,ESP,01:51.378,111.378,3.911,15.703
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,5,COUTO Claudia,ESP,01:51.378,111.378,3.911,15.703
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,5,OLIVEIRA Valeria,ESP,01:51.378,111.378,3.911,15.703
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,5,OTERO Antia,ESP,01:51.378,111.378,3.911,15.703
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,6,BRAUN Amelia,POL,01:51.478,111.478,4.004,15.807
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,6,SZPERKIEWICZ Katarzyna,POL,01:51.478,111.478,4.004,15.807
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,6,WALCZAK Julia,POL,01:51.478,111.478,4.004,15.807
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,6,STANNY Magda,POL,01:51.478,111.478,4.004,15.807
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,7,ISKAKOVA Rufina,KAZ,01:52.911,112.911,5.341,17.296
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,7,TORLOPOVA Margarita,KAZ,01:52.911,112.911,5.341,17.296
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,7,KISSELEVA Ulyana,KAZ,01:52.911,112.911,5.341,17.296
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,7,BROVKOVA Mariya,KAZ,01:52.911,112.911,5.341,17.296
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,8,COCIU Daniela,MDA,01:52.942,112.942,5.37,17.328
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,8,PARASCHIV Andreea,MDA,01:52.942,112.942,5.37,17.328
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,8,GLIZAN Elena,MDA,01:52.942,112.942,5.37,17.328
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,8,OLARASU Maria,MDA,01:52.942,112.942,5.37,17.328
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,9,MURPHY Azusa,USA,01:59.312,119.312,11.313,23.945
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,9,ALBRECHT Emma,USA,01:59.312,119.312,11.313,23.945
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,9,HARPER Audrey,USA,01:59.312,119.312,11.313,23.945
2023,WCh,"Duisburg, GER",C4 women 500 m,C4,F,500,9,GHIZILA Andreea,USA,01:59.312,119.312,11.313,23.945
2022,WCh,"Halifax, CAN",K1 men 200 m,K1,H,200,1,AREVALO Carlos,ESP,00:36.431,36.431,0.0,0.0
2022,WCh,"Halifax, CAN",K1 men 200 m,K1,H,200,2,Menning Petter,SWE,00:36.719,36.719,0.791,0.791
2022,WCh,"Halifax, CAN",K1 men 200 m,K1,H,200,3,CSIZMADIA Kolos,HUN,00:36.821,36.821,1.071,1.071
